Id,Sales
1,4029.1184
857,4340.3413
1713,4614.8867
2569,5282.3027
3425,5606.1187
4281,4135.971
5137,3663.2117
5993,3426.0012
6849,3566.8406
7705,3601.1155
8561,3808.4368
9417,4280.611
10273,4397.813
11129,4437.9155
11985,4639.58
12841,5030.0015
13697,4949.24
14553,5599.186
15409,5707.0645
16265,4538.51
17121,3720.824
17977,3535.5725
18833,3404.3157
19689,3437.4631
20545,3760.1199
21401,5366.595
22257,3982.921
23113,4017.8274
23969,4228.69
24825,4436.7354
25681,4634.174
26537,5336.7495
27393,6274.9194
28249,3969.0833
29105,3882.365
29961,3699.0872
30817,3516.0222
31673,3527.3496
32529,3775.3948
33385,5361.2656
34241,4096.9478
35097,4260.4404
35953,4433.1733
36809,4834.272
37665,4858.5083
38521,5668.03
39377,6405.1226
40233,5201.9175
2,7698.1387
858,8229.837
1714,9553.786
2570,10371.53
3426,3593.458
4282,3749.2969
5138,5478.936
5994,5279.2983
6850,5568.4277
7706,5645.518
8562,5393.4253
9418,2772.8125
10274,3994.7434
11130,7740.404
11986,8028.0566
12842,8504.333
13698,8865.882
14554,10935.841
15410,4352.9116
16266,4337.9907
17122,6066.6353
17978,5334.1885
18834,5147.9023
19690,5319.953
20546,5346.642
21402,3449.4998
22258,3565.3933
23114,6890.3086
23970,7435.707
24826,8132.297
25682,8544.133
26538,9407.007
27394,3969.696
28250,3994.1829
29106,5733.685
29962,5743.1743
30818,5763.728
31674,5825.1743
32530,5838.564
33386,3661.8582
34242,3816.0364
35098,7173.7104
35954,7652.944
36810,8298.7
37666,8531.724
38522,9788.903
39378,4301.018
40234,4647.99
3,9439.36
859,9841.711
1715,11923.148
2571,13079.504
3427,3978.693
4283,6328.082
5139,8571.028
5995,7828.9937
6851,7671.3013
7707,8857.659
8563,9001.73
9419,3616.1824
10275,6915.228
11131,11067.249
11987,10623.176
12843,11215.948
13699,13599.7295
14555,14411.474
15411,4416.2056
16267,7706.346
17123,9789.552
17979,8689.274
18835,8338.326
19691,9168.022
20547,9874.066
21403,4294.35
22259,6594.8438
23115,10942.694
23971,11073.452
24827,10950.067
25683,12539.934
26539,14553.237
27395,4606.2573
28251,7286.1094
29107,9860.79
29963,9691.114
30819,9140.935
31675,10262.126
32531,10636.306
33387,4393.564
34243,8078.821
35099,11479.898
35955,11285.581
36811,11780.195
37667,12980.552
38523,15671.249
39379,4601.7593
40235,7962.0044
4,7787.34
860,7336.123
1716,8536.831
2572,9726.227
3428,4144.012
4284,3526.1199
5140,5350.5425
5996,5848.068
6852,5168.5796
7708,5643.151
8564,5966.0684
9420,3049.2122
10276,3498.3418
11132,6733.5493
11988,8047.389
12844,7572.9263
13700,8631.821
14556,9917.167
15412,4550.097
16268,4083.6257
17124,5264.1655
17980,5716.554
18836,4786.7715
19692,5036.272
20548,5383.127
21404,3776.3318
22260,3233.1438
23116,6194.789
23972,7585.0444
24828,6912.543
25684,7699.3594
26540,9057.766
27396,3943.746
28252,3377.6497
29108,5210.257
29964,5837.5864
30820,5045.02
31676,5467.723
32532,5800.9165
33388,3523.3916
34244,3443.304
35100,6324.3296
35956,7641.1265
36812,7219.761
37668,7745.809
38524,9283.429
39380,4059.971
40236,3804.2039
5,7579.3784
861,7954.192
1717,9053.782
2573,11014.2295
3429,6334.8047
4285,6333.0396
5141,6473.6445
5997,6140.8716
6853,6166.365
7709,6487.502
8565,7363.119
9421,5268.836
10277,6725.7456
11133,8260.83
11989,8374.513
12845,9047.649
13701,9835.22
14557,11248.302
15413,6490.7417
16269,7033.5425
17125,6840.2144
17981,6111.557
18837,5958.789
19693,6242.931
20549,7330.5327
21405,7351.687
22261,6169.1587
23117,7823.561
23973,8124.275
24829,8560.813
25685,9376.545
26541,11484.777
27397,7812.5645
28253,6725.986
29109,6856.066
29965,6507.3257
30821,6235.334
31677,6388.322
32533,7238.4565
33389,6683.44
34245,6945.6704
35101,7275.699
35957,7463.1914
36813,7978.8125
37669,8764.351
38525,11632.656
39381,7752.6445
40237,7542.3687
6,6087.397
862,6302.654
1718,7038.637
2574,8114.084
3430,5945.065
4286,4975.184
5142,5331.804
5998,5025.4165
6854,4983.9478
7710,5322.014
8566,5765.5522
9422,4246.394
10278,5105.484
11134,6344.3086
11990,6292.924
12846,6260.3394
13702,6511.9414
14558,7683.1577
15414,5593.1387
16270,5074.504
17126,5055.351
17982,4635.577
18838,4422.106
19694,4693.072
20550,5285.277
21406,5436.614
22262,4576.14
23118,5558.5684
23974,5548.2812
24830,5564.4243
25686,6102.3843
26542,7273.0
27398,6257.16
28254,4725.535
29110,5334.068
29966,5045.9595
30822,4822.365
31678,5146.6523
32534,5657.1577
33390,5390.725
34246,4751.9136
35102,5913.235
35958,5947.2817
36814,6149.9146
37670,6479.16
38526,7768.8286
39382,6169.3247
40238,5473.779
7,7523.7812
863,8340.374
1719,8495.632
2575,9207.845
3431,3175.2812
4287,5607.7446
5143,6489.0874
5999,6430.6187
6855,6895.1875
7711,6728.75
8567,6754.832
9423,2675.124
10279,5841.678
11135,8026.9106
11991,8339.575
12847,9306.472
13703,9353.349
14559,10189.258
15415,3526.057
16271,6723.1504
17127,6915.478
17983,6805.3354
18839,7132.345
19695,6879.685
20551,7040.1235
21407,3319.839
22263,5714.586
23119,7290.5215
23975,8005.7534
24831,8578.628
25687,8337.446
26543,9505.261
27399,3226.323
28255,6153.2383
29111,6721.666
29967,6907.646
30823,7165.776
31679,6997.1157
32535,7172.168
33391,2933.1309
34247,6205.861
35103,7435.6313
35959,8175.94
36815,9093.134
37671,9007.122
38527,10573.53
39383,3078.1982
40239,6247.0835
8,7918.9766
864,8527.623
1720,9635.427
2576,10963.862
3432,5674.8384
4288,5920.1562
5144,6052.377
6000,5886.8145
6856,6058.873
7712,5936.9146
8568,6072.224
9424,4531.4634
10280,5899.438
11136,8049.7095
11992,8150.5103
12848,8501.401
13704,8465.177
14560,11546.792
15416,5640.895
16272,6745.4087
17128,6034.9263
17984,5824.5312
18840,5746.803
19696,5814.346
20552,6053.5327
21408,6184.0312
22264,5905.22
23120,7695.9985
23976,8132.732
24832,8604.746
25688,9022.456
26544,10592.915
27400,6179.989
28256,6233.3833
29112,6065.985
29968,6044.94
30824,5931.2427
31680,6122.5747
32536,6362.693
33392,5405.084
34248,6353.2085
35104,7651.264
35960,8099.8516
36816,8678.501
37672,9180.911
38528,11218.376
39384,5799.1797
40240,6102.539
9,5039.184
865,5229.4937
1721,5937.6875
2577,7156.101
3433,6300.521
4289,4346.7188
5145,3996.5312
6001,3437.2305
6857,3374.1672
7713,3316.623
8569,3583.0867
9425,4538.9336
10281,4255.982
11137,5500.016
11993,5144.642
12849,5626.4883
13705,5883.771
14561,7125.078
15417,5405.77
16273,4813.2993
17129,3890.0068
17985,3511.7356
18841,3180.3997
19697,3180.157
20553,3476.263
21409,5643.599
22265,4290.847
23121,5480.5503
23977,5391.8926
24833,5821.7124
25689,6263.03
26545,7442.75
27401,6906.6763
28257,4011.8606
29113,4680.3276
29969,4057.8562
30825,3667.905
31681,3668.537
32537,3913.8438
33393,5902.2407
34249,4842.856
35105,6249.604
35961,5569.2925
36817,6222.9624
37673,6344.2886
38529,8165.8516
39385,6049.0747
40241,4463.2295
10,5743.508
866,5799.771
1722,6633.0083
2578,7548.943
3434,3479.6643
4290,3206.1523
5146,4769.062
6002,4487.8833
6858,4475.6094
7714,4569.5312
8570,4886.4316
9426,2684.6218
10282,3278.8865
11138,5973.4766
11994,5934.387
12850,6041.112
13706,6426.5703
14562,8442.329
